;52;56;60;65;71;79;88;>88;94;>94;110;>110
279;96,88;93,94;90,58;86,11;81,58;76,86;72,66;65,96;70,28;65,96;65,65;61,59
280;97,22;94,28;90,91;86,42;81,87;77,13;72,92;66,19;70,53;66,19;65,88;61,81
281;97,57;94,61;91,23;86,73;82,16;77,41;73,18;66,43;70,78;66,43;66,12;62,03
282;97,92;94,95;91,56;87,04;82,46;77,69;73,44;66,67;71,03;66,67;66,35;62,25
283;98,26;95,29;91,88;87,35;82,75;77,96;73,70;66,90;71,28;66,90;66,59;62,47
284;98,61;95,62;92,21;87,65;83,04;78,24;73,96;67,14;71,54;67,14;66,82;62,69
285;98,96;95,96;92,53;87,96;83,33;78,51;74,22;67,38;71,79;67,38;67,06;62,91
286;99,31;96,30;92,86;88,27;83,63;78,79;74,48;67,61;72,04;67,61;67,29;63,13
287;99,65;96,63;93,18;88,58;83,92;79,06;74,74;67,85;72,29;67,85;67,53;63,36
288;100,00;96,97;93,51;88,89;84,21;79,34;75,00;68,09;72,54;68,09;67,76;63,58
289;100,35;97,31;93,83;89,20;84,50;79,61;75,26;68,32;72,80;68,32;68,00;63,80
290;100,69;97,64;94,16;89,51;84,80;79,89;75,52;68,56;73,05;68,56;68,24;64,02
291;;97,98;94,48;89,81;85,09;80,17;75,78;68,79;73,30;68,79;68,47;64,24
292;;98,32;94,81;90,12;85,38;80,44;76,04;69,03;73,55;69,03;68,71;64,46
293;;98,65;95,13;90,43;85,67;80,72;76,30;69,27;73,80;69,27;68,94;64,68
294;;98,99;95,45;90,74;85,96;80,99;76,56;69,50;74,06;69,50;69,18;64,90
295;;99,33;95,78;91,05;86,26;81,27;76,82;69,74;74,31;69,74;69,41;65,12
296;;99,66;96,10;91,36;86,55;81,54;77,08;69,98;74,56;69,98;69,65;65,34
297;;100,00;96,43;91,67;86,84;81,82;77,34;70,21;74,81;70,21;69,88;65,56
298;;;96,75;91,98;87,13;82,09;77,60;70,45;75,06;70,45;70,12;65,78
299;;;97,08;92,28;87,43;82,37;77,86;70,69;75,31;70,69;70,35;66,00
300;;;97,40;92,59;87,72;82,64;78,13;70,92;75,57;70,92;70,59;66,23
301;;;97,73;92,90;88,01;82,92;78,39;71,16;75,82;71,16;70,82;66,45
302;;;98,05;93,21;88,30;83,20;78,65;71,39;76,07;71,39;71,06;66,67
303;;;98,38;93,52;88,60;83,47;78,91;71,63;76,32;71,63;71,29;66,89
304;;;98,70;93,83;88,89;83,75;79,17;71,87;76,57;71,87;71,53;67,11
305;;;99,03;94,14;89,18;84,02;79,43;72,10;76,83;72,10;71,76;67,33
306;;;99,35;94,44;89,47;84,30;79,69;72,34;77,08;72,34;72,00;67,55
307;;;99,68;94,75;89,77;84,57;79,95;72,58;77,33;72,58;72,24;67,77
308;;;100,00;95,06;90,06;84,85;80,21;72,81;77,58;72,81;72,47;67,99
309;;;;95,37;90,35;85,12;80,47;73,05;77,83;73,05;72,71;68,21
310;;;;95,68;90,64;85,40;80,73;73,29;78,09;73,29;72,94;68,43
311;;;;95,99;90,94;85,67;80,99;73,52;78,34;73,52;73,18;68,65
312;;;;96,30;91,23;85,95;81,25;73,76;78,59;73,76;73,41;68,87
313;;;;96,60;91,52;86,23;81,51;74,00;78,84;74,00;73,65;69,09
314;;;;96,91;91,81;86,50;81,77;74,23;79,09;74,23;73,88;69,32
315;;;;97,22;92,11;86,78;82,03;74,47;79,35;74,47;74,12;69,54
316;;;;97,53;92,40;87,05;82,29;74,70;79,60;74,70;74,35;69,76
317;;;;97,84;92,69;87,33;82,55;74,94;79,85;74,94;74,59;69,98
318;;;;98,15;92,98;87,60;82,81;75,18;80,10;75,18;74,82;70,20
319;;;;98,46;93,27;87,88;83,07;75,41;80,35;75,41;75,06;70,42
320;;;;98,77;93,57;88,15;83,33;75,65;80,60;75,65;75,29;70,64
321;;;;99,07;93,86;88,43;83,59;75,89;80,86;75,89;75,53;70,86
322;;;;99,38;94,15;88,71;83,85;76,12;81,11;76,12;75,76;71,08
323;;;;99,69;94,44;88,98;84,11;76,36;81,36;76,36;76,00;71,30
324;;;;100,00;94,74;89,26;84,38;76,60;81,61;76,60;76,24;71,52
325;;;;;95,03;89,53;84,64;76,83;81,86;76,83;76,47;71,74
326;;;;;95,32;89,81;84,90;77,07;82,12;77,07;76,71;71,96
327;;;;;95,61;90,08;85,16;77,30;82,37;77,30;76,94;72,19
328;;;;;95,91;90,36;85,42;77,54;82,62;77,54;77,18;72,41
329;;;;;96,20;90,63;85,68;77,78;82,87;77,78;77,41;72,63
330;;;;;96,49;90,91;85,94;78,01;83,12;78,01;77,65;72,85
331;;;;;96,78;91,18;86,20;78,25;83,38;78,25;77,88;73,07
